name,state,country,category,is_target
Faith Baptist Bible College & Theological Seminary,IA,USA,university,false
Fashion Institute of Design & Merchandising,CA,USA,university,false
Faulkner University,AL,USA,university,false
Fayetteville State University,NC,USA,university,false
Felician College,NJ,USA,university,false
Ferris State University,MI,USA,university,false
Ferrum College,VA,USA,university,false
Fielding Graduate University,CA,USA,university,false
Finlandia University,MI,USA,university,false
Fisher College,MA,USA,university,false
Fisk University,TN,USA,university,false
Fitchburg State University,MA,USA,university,false
Five Towns College,NY,USA,university,false
Flagler College,FL,USA,university,false
Florida Agricultural & Mechanical University,FL,USA,university,false
Florida Atlantic University,FL,USA,university,false
Florida College,FL,USA,university,false
Florida Gulf Coast University,FL,USA,university,false
Florida Institute of Technology,FL,USA,university,false
Florida International University,FL,USA,university,false
Florida Memorial University,FL,USA,university,false
Florida National University,FL,USA,university,false
Florida Southern College,FL,USA,university,false
Florida State College at Jacksonville,FL,USA,university,false
Florida State University,FL,USA,university,false
Fontbonne University,MO,USA,university,false
Fordham University,NY,USA,university,false
Forest Institute of Professional Psychology,MO,USA,university,false
Fort Hays State University,KS,USA,university,false
Fort Lewis College,CO,USA,university,false
Fort Myers High School,FL,USA,high_school,false
Fort Valley State University,GA,USA,university,false
Framingham State University,MA,USA,university,false
Francis Marion University,SC,USA,university,false
Franciscan School of Theology,CA,USA,university,false
Franciscan University of Steubenville,OH,USA,university,false
Frank Lloyd Wright School of Architecture,AZ,USA,university,false
Franklin & Marshall College,PA,USA,university,false
Franklin College,IN,USA,university,false
Franklin Pierce University,NH,USA,university,false
Franklin University,OH,USA,university,false
Franklin W. Olin College of Engineering,MA,USA,university,false
Freed-Hardeman University,TN,USA,university,false
Freedom High School,PA,USA,high_school,false
Freehold High School,NJ,USA,high_school,false
Fresno City College,CA,USA,university,false
Fresno Pacific University,CA,USA,university,false
Friends University,KS,USA,university,false
Frontier Nursing University,KY,USA,university,false
Frostburg State University,MD,USA,university,false
Fuller Theological Seminary,CA,USA,university,false
Furman University,SC,USA,university,false
Future Generations Graduate School,WV,USA,university,false
Gallaudet University,DC,USA,university,false
Gannon University,PA,USA,university,false
Gardner-Webb University,NC,USA,university,false
Garrett-Evangelical Theological Seminary,IL,USA,university,false
Geneva College,PA,USA,university,false
George Fox University,OR,USA,university,false
George Mason University,VA,USA,university,false
George Washington University,DC,USA,university,false
George Washington University-Virginia Science & Technology Campus,VA,USA,university,false
Georgetown College,KY,USA,university,false
Georgetown University,DC,USA,university,false
Georgia College & State University,GA,USA,university,false
Georgia Gwinnett College,GA,USA,university,false
Georgia Institute of Technology,GA,USA,university,false
Georgia Regents University,GA,USA,university,false
Georgia Southern University,GA,USA,university,false
Georgia Southwestern State University,GA,USA,university,false
Georgia State University,GA,USA,university,false
Georgian Court University,NJ,USA,university,false
Gettysburg College,PA,USA,university,false
Glenville State College,WV,USA,university,false
Global University,MO,USA,university,false
God's Bible School & College,OH,USA,university,false
Goddard College,VT,USA,university,false
Golden Gate Baptist Theological Seminary,CA,USA,university,false
Golden Gate University,CA,USA,university,false
